Song Name,Singer Name,Youtube urls,Emotions
Give Me Love (Give Me Peace on Earth),George Harrison,https://www.youtube.com/watch?v=ZbgCtrkam_U,"Success, Pop, Acoustic, Rock, Journey, Hope, Faith, Melody, Soul, Lust, Ambition, Soulful, Gospel, Devotion, Frustration, House, Blues, Elation, Love, Country, Conflict, Liberation, Desire, Yearning"
If You Want Me to Stay,Sly & the Family Stone,https://www.youtube.com/watch?v=gZFabOuF4Ps,"Soul, Pop, Faith, Love, Country"
Daddy's Home,Jermaine Jackson,https://www.youtube.com/watch?v=Fx_Y_0K3Hx4,No specific emotions found.
Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,https://www.youtube.com/watch?v=i810mVyAZDw,"Temptation, Soul, Funk, Crossover, Success, Pop, Freedom, Fun, Faith, Country"
I'm Doin' Fine Now,New York City,https://www.youtube.com/watch?v=fBUO0YsK1WI,"Soul, Success"
Could It Be I'm Falling in Love,The Spinners,https://www.youtube.com/watch?v=EU4UTDrSwQc,"Success, Pop, House, Unity, Love"
Daniel,Elton John,https://www.youtube.com/watch?v=0f0TMfQNRk8,No specific emotions found.
Midnight Train to Georgia,Gladys Knight & the Pips,https://www.youtube.com/watch?v=A0F9lh8TiSM,"Soul, Wonder, Success, Comfort, Rock, House, Gospel, Hope, Love, Country"
Smoke on the Water,Deep Purple,https://www.youtube.com/watch?v=0WpKpcEORxo,"Funk, Escape, Success, Wonder, Pop, Rock, Lust, Jazz, Panic, Fun, Love, Blues, Melody"
The Way We Were,Barbra Streisand,https://www.youtube.com/watch?v=ifWOSnoCS0M,"Bittersweet, Confrontation, Nostalgic, Conflict, Success, Pop, Passion, Courage, Disco, Dismay, House, Loyalty, Regret, Elation, Love, Urban"
Seasons in the Sun,Terry Jacks,https://www.youtube.com/watch?v=bWdQbxNEFEs,"Joy, Wonder, Success, Pop, Love, Inspiration"
Love's Theme,Love Unlimited Orchestra,https://www.youtube.com/watch?v=RLTJ95kj9ng,"Disco, Love, Success, Pop"
Come and Get Your Love,Redbone,https://www.youtube.com/watch?v=Dj0drevGOgA,"Nostalgic, Success, Pop, Rock, House, Fun, Love, Urban"
Dancing Machine,The Jackson 5,https://www.youtube.com/watch?v=VORrgGlgL28,"Disco, Soul, Urban, Pop"
The Loco-Motion,Grand Funk Railroad,https://www.youtube.com/watch?v=7HRhEEm8Dic,"Funk, Success, Pop, Rock, Disco, Morning, Harmony, Fun, Unity, Hope, Believe, Country"
